"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"EC","UMTATA CENTRAL","5","200400347","Umtata Central","Umtata Central"
"EC","PATENSIE","5","200100116","Patensie","Patensie"
"EC","MAKHOBA A/A","5","200500394","Makhoba A/A","Makhoba A/A"
"EC","CHATTY","5","200100065","Chatty","Chatty"
"EC","THABA-CHICHA A/A","5","200500397","Thaba Chicha A/A","Thaba Chicha A/A"
"EC","THORNHILL","5","200100784","Thornhill","Thornhill"
"EC","JEFFREYS BAY","5","200100294","Jeffreys Bay","Jeffreys Bay"
"EC","BARKLY EAST","5","200400633","Barkly East","Barkly East"
"EC","KABEGA PARK","5","200100200","Kabega Park","Kabega Park"
"EC","NDONGA FARMS","5","200600226","Ndonga Farms","Ndonga Farms"
"EC","NGXAZA A/A","5","200400781","Ngxaza A/A","Ngxaza A/A"
"EC","KOMGA","5","200200251","Komga","Komga"
"EC","ALGOA PARK","5","200100167","Algoa Park","Algoa Park"
"EC","CATHCART","5","200600094","Cathcart","Cathcart"
"EC","BISHO","5","200200044","Bisho","Bisho"
"EC","PABALLONG A/A","5","200500406","Paballong A/A","Paballong A/A"
"EC","CHALUMNA","5","200200293","Chalumna","Chalumna"
"EC","LOWER NTAFUFU A/A","5","200500576","Lower Ntafufu A/A","Lower Ntafufu A/A"
"EC","ELLIOT","5","200400262","Elliot","Elliot"
"EC","DUNCAN VILLAGE","5","200200333","Duncan","Duncan"
"EC","KIDD`S BEACH","4","200200307","Kidd`s Beach","Kidd`s Beach"
"EC","DEBE NEK","4","200200330","Debe Nek","Debe Nek"
"EC","AMANTSHANGASE A/A","4","200500052","Amantshangase A/A","Amantshangase A/A"
"EC","PUMLO A/A","4","200500089","Pumlo A/A","Pumlo A/A"
"EC","INDWE","4","200600296","Indwe","Indwe"
"EC","MALUTI","4","200500031","Maluti","Maluti"
"EC","TSEMBEYI A/A","4","200600286","Tsembeyi A/A","Tsembeyi A/A"
"EC","NEWLANDS","4","200200407","Newlands","Newlands"
"EC","HUMANSDORP","4","200100316","Humansdorp","Humansdorp"
"EC","EKUPHUMLENI","4","200100375","Ekuphumleni","Ekuphumleni"
"EC","GCUDA A/A","4","200500459","Gcuda A/A","Gcuda A/A"
"EC","SADA TOWNSHIP","4","200600401","Sada Township","Sada Township"
"EC","NYANISO A/A","4","200500137","Nyaniso A/A","Nyaniso A/A"
"EC","NORTH END","4","200100011","North End","North End"
"EC","TARKASTAD","4","200600052","Tarkastad","Tarkastad"
"EC","BEREA","4","200200260","Berea","Berea"
"EC","WITTENBERG","4","200600045","Wittenberg","Wittenberg"
"EC","SUMMERSTRAND","4","200100619","Summerstrand","Summerstrand"
"EC","PARKSIDE","4","200100615","Parkside","Parkside"
"EC","DUBANA A/A","4","200500602","Dubana A/A","Dubana A/A"
"EC","CRADOCK","4","200600032","Cradock","Cradock"
"EC","MALABAR","4","200100019","Malabar","Malabar"
"EC","LUPINDO A/A","4","200500185","Lupindo A/A","Lupindo A/A"
"EC","NYATHI A/A","4","200500231","Nyathi A/A","Nyathi A/A"
"EC","MHLOPEKAZI","4","200400537","Mhlopekazi","Mhlopekazi"
"EC","DORDRECHT","4","200600019","Dordrecht","Dordrecht"
"EC","ROSEDALE","4","200100106","Rosedale","Rosedale"
"EC","GOQWANA A/A","4","200500379","Goqwana A/A","Goqwana A/A"
"EC","NKUNZIMBINI A/A","4","200500663","Nkunzimbini A/A","Nkunzimbini A/A"
"EC","NGQAYI A/A","4","200400049","Ngqayi A/A","Ngqayi A/A"
"EC","MHLUMBA A/A","4","200500366","Mhlumba A/A","Mhlumba A/A"
"EC","DEBENEK","4","200200113","Debenek","Debenek"
"EC","UGIE","4","200400273","Ugie","Ugie"
"EC","MKAPUSI A/A","4","200600149","Mkapusi A/A","Mkapusi A/A"
"EC","ZITATELE A/A","4","200400255","Zitatele A/A","Zitatele A/A"
"EC","SELBORNE","4","200200089","Selborne","Selborne"
"EC","MAQHINGENI A/A","4","200400099","Maqhingeni A/A","Maqhingeni A/A"
"EC","MTOMBE A/A","4","200400103","Mtombe A/A","Mtombe A/A"
"EC","MBOBELENI A/A","4","200400121","Mbobeleni A/A","Mbobeleni A/A"
"EC","MNGAZI A/A","3","200400117","Mngazi A/A","Mngazi A/A"
"EC","MHLANGANISWENI A/A","3","200400133","Mhlanganisweni A/A","Mhlanganisweni A/A"
"EC","NDAKENI LOCATION","3","200400163","Ndakeni Location","Ndakeni Location"
"EC","MVUMELWANO LOCATION","3","200400208","Mvumelwano Location","Mvumelwano Location"
"EC","NGCELE A/A","3","200400282","Ngcele A/A","Ngcele A/A"
"EC","MANZANA","3","200400070","Manzana","Manzana"
"EC","LUCINGWENI A/A","3","200400051","Lucingweni A/A","Lucingweni A/A"
"EC","QUMBO","3","200400362","Qumbo","Qumbo"
"EC","MFINIZO A/A","3","200500614","Mfinizo A/A","Mfinizo A/A"
"EC","KHAYAMNANDI","3","200100579","Khayamnandi","Khayamnandi"
"EC","MAFINI A/A","3","200400388","Mafini A/A","Mafini A/A"
"EC","BHONGWENI","3","200100442","Bhongweni","Bhongweni"
"EC","BEDFORD","3","200100586","Bedford","Bedford"
"EC","GOVAN MBEKI TOWNSHIP","3","200100109","Govan Mbeki Township","Govan Mbeki Township"
"EC","BITYI","3","200400438","Bityi","Bityi"
"EC","MDLANKOMO A/A","3","200400470","Mdlankomo A/A","Mdlankomo A/A"
"EC","NKANUNU A/A","3","200400882","Nkanunu A/A","Nkanunu A/A"
"EC","NYANDENI A/A","3","200400892","Nyandeni A/A","Nyandeni A/A"
"EC","MGAQWENI A/A","3","200401021","Mgaqweni A/A","Mgaqweni A/A"
"EC","QAMATA","3","200600531","Qamata","Qamata"
"EC","MDENI LOCATION","3","200401373","Mdeni Location","Mdeni Location"
"EC","JANSENSDAL","3","200100130","Jansensdal","Jansensdal"
"EC","GOBE A/A","3","200300541","Gobe A/A","Gobe A/A"
"EC","CEBE A/A","3","200300249","Cebe A/A","Cebe A/A"
"EC","MZAMOMHLE","3","200600516","Mzamomhle","Mzamomhle"
"EC","QOMBOLO A/A","3","200300145","Qombolo A/A","Qombolo A/A"
"EC","GQUNQE A/A","3","200300117","Gqunqe A/A","Gqunqe A/A"
"EC","NXAXO A/A","3","200300105","Nxaxo A/A","Nxaxo A/A"
"EC","QOLORA A/A","3","200300048","Qolora A/A","Qolora A/A"
"EC","TENTERGATE VILLAGE","3","200600433","Tentergate","Tentergate"
"EC","PARSONS HILL","3","200100131","Parsons Hill","Parsons Hill"
"EC","MIDDELBURG","3","200600619","Middelburg","Middelburg"
"EC","SANCTOR","3","200100678","Sanctor","Sanctor"
"EC","DUKATHOLE","3","200600425","Dukathole","Dukathole"
"EC","ABERDEEN","3","200100003","Aberdeen","Aberdeen"
"EC","BOOYSEN PARK","3","200100078","Booysen Park","Booysen Park"
"EC","ROCKLANDS VILLAGE","3","200600125","Rocklands","Rocklands"
"EC","GONUBIE","3","200201017","Gonubie","Gonubie"
"EC","KAREEDOUW","3","200100371","Kareedouw","Kareedouw"
"EC","KWAMAGXAKI","3","200100705","Kwamagxaki","Kwamagxaki"
"EC","PHAKAMISA","3","200200635","Phakamisa","Phakamisa"
"EC","KING WILLIAMS TOWN","3","200200536","King Williams Town","King Williams Town"
"EC","NU 16","3","200200495","Nu 16","Nu 16"
"EC","CUMAKALA","3","200200486","Cumakala","Cumakala"
"EC","GEORGE MOSHESH A/A","3","200500581","George Moshesh A/A","George Moshesh A/A"
"EC","HOMBE A/A","3","200500035","Hombe A/A","Hombe A/A"
"EC","MFINIZWENI A/A","3","200500563","Mfinizweni A/A","Mfinizweni A/A"
"EC","PHUMLO A/A","3","200500057","Phumlo A/A","Phumlo A/A"
"EC","MOLTENO","3","200600156","Molteno","Molteno"
"EC","KARIEGA","3","200100349","Kariega","Kariega"
"EC","GXWALENI A/A","3","200500548","Gxwaleni A/A","Gxwaleni A/A"
"EC","SEYMOUR","3","200200288","Seymour","Seymour"
"EC","NTONTELA A/A","3","200500543","Ntontela A/A","Ntontela A/A"
"EC","MOSEL","3","200100312","Mosel","Mosel"
"EC","MZINTLAVA A/A","3","200500201","Mzintlava A/A","Mzintlava A/A"
"EC","PELLSRUS","3","200100307","Pellsrus","Pellsrus"
"EC","TANTJI","3","200100770","Tantji","Tantji"
"EC","HANKEY","3","200100290","Hankey","Hankey"
"EC","MTFRERE","3","200500262","Mtfrere","Mtfrere"
"EC","BERLIN GENERAL","3","200200190","Berlin General","Berlin General"
"EC","GINSBERG","3","200200183","Ginsberg","Ginsberg"
"EC","MILL PARK","3","200100277","Mill Park","Mill Park"
"EC","SALT LAKE","3","200100064","Salt Lake","Salt Lake"
"EC","UPPER NTAFUFU A/A","3","200500263","Upper Ntafufu A/A","Upper Ntafufu A/A"
"EC","JUBILEE PARK","3","200100238","Jubilee Park","Jubilee Park"
"EC","AMALINDA","3","200200096","Amalinda","Amalinda"
"EC","HOFMEYER","3","200600269","Hofmeyer","Hofmeyer"
"EC","NGOBOZANA A/A","3","200500361","Ngobozana A/A","Ngobozana A/A"
"EC","FORTBEAUFORT","3","200100214","Fortbeaufort","Fortbeaufort"
"EC","CISIRA LOCATION","3","200200087","Cisira Location","Cisira Location"
"EC","WILLOWMORE","3","200100195","Willowmore","Willowmore"
"EC","KWADWESI","3","200100186","Kwadwesi","Kwadwesi"
"EC","LIKHETLANE A/A","3","200500408","Likhetlane A/A","Likhetlane A/A"
"EC","SHESHEGU LOCATION","3","200200032","Sheshegu Location","Sheshegu Location"
"EC","FAIRVIEW","3","200100870","Fairview","Fairview"
"EC","MIDDELDRIFT","3","200200019","Middeldrift","Middeldrift"
"EC","THEESCOMBE","3","200100166","Theescombe","Theescombe"
"EC","BATHURST","3","200100049","Bathurst","Bathurst"
"EC","BLOEMENDAL","3","200100043","Bloemendal","Bloemendal"
"EC","NOMATHAMSANQA","3","200100001","Nomathamsanqa","Nomathamsanqa"
"EC","NGCOBO","2","200601198","Ngcobo","Ngcobo"
"EC","MBEKWENI VILLAGE","2","200600837","Mbekweni","Mbekweni"
"EC","QUEENSTOWN 5320","2","200600826","Queenstown 5320","Queenstown 5320"
"EC","WHITTLESEA EASTERN CAPE","2","200600724","Whittlesea Eastern Cape","Whittlesea Eastern Cape"
"EC","LADY GREY","2","200600708","Lady Grey","Lady Grey"
"EC","BALMORAL","2","200600690","Balmoral","Balmoral"
"EC","KOMANI","2","200600674","Komani","Komani"
"EC","ADDO","2","200100009","Addo","Addo"
"EC","RWANTSANA A/A","2","200600615","Rwantsana A/A","Rwantsana A/A"
"EC","MACUBENI A/A","2","200600614","Macubeni A/A","Macubeni A/A"
"EC","NOMONDE TOWNSHIP","2","200600603","Nomonde Township","Nomonde Township"
"EC","NGQOKO A/A","2","200600593","Ngqoko A/A","Ngqoko A/A"
"EC","ZOLA TOWNSHIP","2","200600584","Zola Township","Zola Township"
