"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"KZN","DUFFS","1","500123765","Duffs","Duffs"
"KZN","LILYDALE","1","500171162","Lilydale","Lilydale"
"KZN","UMHLATUZANA","1","500504976","Umhlatuzana","Umhlatuzana"
"KZN","DOONHEIGHTS","1","500122877","Doonheights","Doonheights"
"KZN","P.O.UMKOMAAS","1","500121915","P.O.Umkomaas","P.O.Umkomaas"
"KZN","MOORTON, CHATSWORTH","1","500120287","Moorton, Chatsworth","Moorton, Chatsworth"
"KZN","AVOCA HILLS","1","500118178","Avoca Hills","Avoca Hills"
"KZN","EZITENDENI","1","500174344","Ezitendeni","Ezitendeni"
"KZN","FOLWENI TOWNSHIP TOWNSHIP","1","500119288","Folweni Township Township","Folweni Township Township"
"KZN","CLARE HILLS","1","500117031","Clare Hills","Clare Hills"
"KZN","CARRINGTON HEIGHTS","1","500114626","Carrington Heights","Carrington Heights"
"KZN","BHONGWENI  LOC","1","500176971","Bhongweni  Loc","Bhongweni  Loc"
"KZN","CASTLEHILL NEWLANDS WEST","1","500114774","Castlehill Newlands West","Castlehill Newlands West"
"KZN","IMPANDWINI","1","500112406","Impandwini","Impandwini"
"KZN","13 KM D609 / D631 / D644","1","500177341","13 Km D609 / D631 / D644","13 Km D609 / D631 / D644"
"KZN","LOVU TOWN","1","500449920","Lovu Town","Lovu Town"
"KZN","QUARRY HEIGHTS","1","500443482","Quarry Heights","Quarry Heights"
"KZN","BELLAIR","1","500107004","Bellair","Bellair"
"KZN","CROFTDENE, CHATSWORTH","1","500107041","Croftdene, Chatsworth","Croftdene, Chatsworth"
"KZN","ILLOVU TOWNSHIP","1","500442742","Illovu Township","Illovu Township"
"KZN","BANGUBUKHOSI ROAD","1","500105450","Bangubukhosi Road","Bangubukhosi Road"
"KZN","ENGONYAMENI AREA","1","500440966","Engonyameni Area","Engonyameni Area"
"KZN","4110","1","500441003","4110","4110"
"KZN","BHOBHOYI LOCATION","1","500177896","Bhobhoyi Location","Bhobhoyi Location"
"KZN","MAWUSHENI LOCATION","1","500179191","Mawusheni Location","Mawusheni Location"
"KZN","NOKWEJA LOCATION","1","500180856","Nokweja Location","Nokweja Location"
"KZN","EBHAYI LOCATION","1","500183520","Ebhayi Location","Ebhayi Location"
"KZN","SUNRISE FARM","1","500185909","Sunrise Farm","Sunrise Farm"
"KZN","SOUTH BEACH","1","500100455","South Beach","South Beach"
"KZN","RUSSIA-NQUTSHINI","1","500342546","Russia Nqutshini","Russia Nqutshini"
"KZN","INKUMANDEOFAFA LOCATION NO","1","500188293","Inkumandeofafa Location No","Inkumandeofafa Location No"
"KZN","SOKESIMBONE RD","1","500299219","Sokesimbone Rd","Sokesimbone Rd"
"KZN","YELLOWWOOD PARK","1","500297998","Yellowwood Park","Yellowwood Park"
"KZN","KWAMAKHUTHA TOWN SHIP","1","500298035","Kwamakhutha Town Ship","Kwamakhutha Town Ship"
"KZN","MALUKAZI","1","500296481","Malukazi","Malukazi"
"KZN","TURN RIGHT TO RDP HOUSES IN MAKHOBA SETTLEMENT","1","500188478","Turn Right To Rdp Houses In Makhoba Settlement","Turn Right To Rdp Houses In Makhoba Settlement"
"KZN","ZASHUKE AREA","1","500188404","Zashuke Area","Zashuke Area"
"KZN","CHIBINI  LOCATION","1","500188922","Chibini  Location","Chibini  Location"
"KZN","LUFAFA","1","500192326","Lufafa","Lufafa"
"KZN","UMNINI","1","500288526","Umnini","Umnini"
"KZN","MALUNDI","1","500288045","Malundi","Malundi"
"KZN","KWAMZAMO FARM","1","500195175","Kwamzamo Farm","Kwamzamo Farm"
"KZN","SUKUMA ROAD","1","500278425","Sukuma Road","Sukuma Road"
"KZN","REDHILL","1","500276353","Redhill","Redhill"
"KZN","PLAINHILL","1","500200022","Plainhill","Plainhill"
"KZN","ISIPINGO ROAD","1","500273911","Isipingo Road","Isipingo Road"
"KZN","P.O.  UMLAZI","1","500268546","P.O.  Umlazi","P.O.  Umlazi"
"KZN","PO BOX 2102","1","500263995","Po Box 2102","Po Box 2102"
"KZN","VIA UMBUMBULU","1","500263477","Via Umbumbulu","Via Umbumbulu"
"KZN","DEMAT","1","500261257","Demat","Demat"
"KZN","UMGODI AREA","1","500200651","Umgodi Area","Umgodi Area"
"KZN","KWATHATHANI LOCATION","1","500200355","Kwathathani Location","Kwathathani Location"
"KZN","P.O UMLAZI TOWNSHIP","1","500259074","P.O Umlazi Township","P.O Umlazi Township"
"KZN","UMALZI","1","500258593","Umalzi","Umalzi"
"KZN","P.O ADAMS MISSION","1","500258630","P.O Adams Mission","P.O Adams Mission"
"KZN","KILMUN AREA","1","500200244","Kilmun Area","Kilmun Area"
"KZN","UMBUMBULU ROAD","1","500252007","Umbumbulu Road","Umbumbulu Road"
"KZN","WARD 100 AT EMADUNDUBE","1","500247678","Ward 100 At Emadundube","Ward 100 At Emadundube"
"KZN","EARLISFIELD","1","500246605","Earlisfield","Earlisfield"
"KZN","UMGODI LOCATION","1","500203574","Umgodi Location","Umgodi Location"
"KZN","K. HLABANGANI ROAD","1","500241647","K. Hlabangani Road","K. Hlabangani Road"
"KZN","MARRIANHILL","1","500232397","Marrianhill","Marrianhill"
"KZN","ENGONYAMENI","1","500241277","Engonyameni","Engonyameni"
"KZN","PHAMBILI ROAD","1","500243053","Phambili Road","Phambili Road"
"KZN","PHASE 3","1","500243571","Phase 3","Phase 3"
"KZN","KLAARWATER TOWNSHIP","1","500247308","Klaarwater Township","Klaarwater Township"
"KZN","ROSSBURGH","1","500247567","Rossburgh","Rossburgh"
"KZN","MALABAR HILLS","1","500255189","Malabar Hills","Malabar Hills"
"KZN","EMAKHUZENI AREA","1","500203352","Emakhuzeni Area","Emakhuzeni Area"
"KZN","P.O BOX 24813","1","500262515","P.O Box 24813","P.O Box 24813"
"KZN","AA SECTION; UMLAZI","1","500268287","Aa Section; Umlazi","Aa Section; Umlazi"
"KZN","PROVINCIAL HOUSE","1","500275761","Provincial House","Provincial House"
"KZN","MANGOSUTHU HIGHWAY","1","500288230","Mangosuthu Highway","Mangosuthu Highway"
"KZN","NQUTSHINI","1","500292263","Nqutshini","Nqutshini"
"KZN","OFF HELLA HELLA ROAD","1","500202242","Off Hella Hella Road","Off Hella Hella Road"
"KZN","RISECLIFF","1","500295223","Risecliff","Risecliff"
"KZN","P.O. AMANZIMTOTI","1","500305879","P.O. Amanzimtoti","P.O. Amanzimtoti"
"KZN","MARIANHILL","1","500306212","Marianhill","Marianhill"
"KZN","1ST FLOOR QUALBERT CENTRE","1","500407000","1 St Floor Qualbert Centre","1 St Floor Qualbert Centre"
"KZN","THULESHE FARM","1","500207089","Thuleshe Farm","Thuleshe Farm"
"KZN","AVOCA","1","500104451","Avoca","Avoca"
"KZN","WELBEDACHT WEST","1","500443038","Welbedacht West","Welbedacht West"
"KZN","CBD","1","500442853","Cbd","Cbd"
"KZN","106 BERTHA MKHIZE STREET","1","500444148","106 Bertha Mkhize Street","106 Bertha Mkhize Street"
"KZN","BONELA","1","500110889","Bonela","Bonela"
"KZN","MEMELA TRIBAL AUTHORITY","1","500207533","Memela Tribal Authority","Memela Tribal Authority"
"KZN","CROSSMOOR,CHATSWORTH","1","500118696","Crossmoor,Chatsworth","Crossmoor,Chatsworth"
"KZN","VIRGINIA","1","500119917","Virginia","Virginia"
